id;image;image_content_type;col;description;message_key;sort
1;../fake-data/blob/north.png;image/png;C;The more northern of two similar features, or the northern-most of several similar features.;controlpointInfo.description.north;10
2;../fake-data/blob/northeast.png;image/png;C;The more north eastern of two similar features, or the north-eastern-most of several similar features.;controlpointInfo.description.northeast;20
3;../fake-data/blob/east.png;image/png;C;The more eastern of two similar features, or the eastern-most of several similar features.;controlpointInfo.description.east;30
4;../fake-data/blob/southeast.png;image/png;C;The more south eastern of two similar features, or the south-eastern-most of several similar features.;controlpointInfo.description.southeast;40
5;../fake-data/blob/south.png;image/png;C;The more southern of two similar features, or the southern-most of several similar features.;controlpointInfo.description.south;50
6;../fake-data/blob/southwest.png;image/png;C;The more south western of two similar features, or the south-western-most of several similar features.;controlpointInfo.description.southwest;60
7;../fake-data/blob/west.png;image/png;C;The more western of two similar features, or the western-most of several similar features.;controlpointInfo.description.west;70
8;../fake-data/blob/northwest.png;image/png;C;The more north western of two similar features, or the north-western-most of several similar features.;controlpointInfo.description.northwest;80
9;../fake-data/blob/upper.png;image/png;C;Where the control feature is directly above a similar feature;controlpointInfo.description.upper;90
10;../fake-data/blob/lower.png;image/png;C;Where the control feature is directly below a similar feature;controlpointInfo.description.lower;100
11;../fake-data/blob/middle.png;image/png;C;Where the control feature is the middle one of a number of similar features;controlpointInfo.description.middle;110
12;../fake-data/blob/terrace.png;image/png;D;A level area on a slope;controlpointInfo.description.terrace;120
13;../fake-data/blob/spur.png;image/png;D;A contour projection or “nose” rising from the surrounding ground;controlpointInfo.description.spur;130
14;../fake-data/blob/reentrant.png;image/png;D;A contour indentation, a valley, the opposite of a spur;controlpointInfo.description.reentrant;140
15;../fake-data/blob/earthbank.png;image/png;D;An abrupt change in ground level which can clearly be distinguished from its surroundings;controlpointInfo.description.earthbank;150
16;../fake-data/blob/quarry.png;image/png;D;Gravel, sand or stone working in flat or inclined ground;controlpointInfo.description.quarry;160
17;../fake-data/blob/earthwall.png;image/png;D;A narrow wall of earth projecting above the surrounding terrain, may be partially stone faced, usually man-made;controlpointInfo.description.earthwall;170
18;../fake-data/blob/erosiongully.png;image/png;D;An erosion gully or trench, normally dry;controlpointInfo.description.erosiongully;180
19;../fake-data/blob/smallerosiongully.png;image/png;D;A small erosion gully or trench, normally dry;controlpointInfo.description.smallerosiongully;190
