id;sequence;control_code;latitude;longitude;elevation;radius;skippable;team;qr_code;course_id
1;0;30;48.24015453233619;16.278326842971516;0;15;false;false;1;1
2;1;31;48.244341254369914;16.277976988515586;0;15;false;false;2;1
3;2;32;48.24721123925261;16.273449297626595;0;15;false;false;3;1
4;3;33;48.24531370214655;16.269312720624814;0;15;false;false;4;1
5;4;34;48.241915153095505;16.274889124171686;0;15;false;false;5;1
6;0;30;48.20523278531411;16.317465157672117;0;15;false;false;6;2
7;1;31;48.2047608575906;16.318538041278078;0;30;false;false;7;2
8;2;32;48.203144829721026;16.31838783757324;0;15;false;false;8;2
9;3;33;48.20450344063596;16.319825501605223;0;25;false;false;9;2
10;4;34;48.20298751455039;16.31968602673645;0;15;false;false;10;2
11;5;35;48.2049181673149;16.317250580950926;0;15;false;false;11;2
12;0;30;48.20515023945299;16.317352595365257;0;20;FALSE;FALSE;12;3
13;1;31;48.20476220890038;16.318547243551233;0;15;FALSE;FALSE;13;3
14;2;32;48.203685349898564;16.31833561034826;0;5;FALSE;FALSE;14;3
15;3;33;48.20427838900545;16.317824795261842;0;15;FALSE;FALSE;15;3
16;4;34;48.20485610613548;16.317219215465926;0;20;FALSE;FALSE;16;3
17;0;30;48.50624603598226;15.749773072763096;0;30;FALSE;FALSE;17;4
18;1;31;48.50666108294115;15.753247041472665;0;30;FALSE;FALSE;18;4
19;2;32;48.50844358221886;15.754100830733114;0;30;FALSE;FALSE;19;4
20;3;33;48.50975718841781;15.754483440568404;0;30;FALSE;FALSE;20;4
21;4;34;48.5101790957375;15.752928852016906;0;30;FALSE;FALSE;21;4
22;5;35;48.51080902306032;15.750386169518414;0;30;FALSE;FALSE;22;4
23;6;36;48.50872101811245;15.746514605892417;0;30;FALSE;FALSE;23;4
