id;gpx_track;gpx_track_content_type;created_by;created_date;last_modified_by;last_modified_date
1;../fake-data/blob/testTrack.gpx;application/xml;android;2020-08-05T09:11:27.56684;android;2020-08-05T09:11:27.57984
2;../fake-data/blob/CourseResult1454.gpx;application/xml;android;2020-08-05T09:11:27.56684;android;2020-08-05T09:11:27.57984
3;../fake-data/blob/CourseResult1455.gpx;application/xml;android;2020-08-05T09:11:27.56684;android;2020-08-05T09:11:27.57984
4;../fake-data/blob/CourseResult1457.gpx;application/xml;android;2020-08-05T09:11:27.56684;android;2020-08-05T09:11:27.57984
5;../fake-data/blob/CourseResult1458.gpx;application/xml;android;2020-08-05T09:11:27.56684;android;2020-08-05T09:11:27.57984
6;../fake-data/blob/CourseResult1301.gpx;application/xml;android;2020-08-05T09:11:27.56684;android;2020-08-05T09:11:27.57984
7;../fake-data/blob/CourseResult1302.gpx;application/xml;android;2020-08-05T09:11:27.56684;android;2020-08-05T09:11:27.57984
8;../fake-data/blob/CourseResult1303.gpx;application/xml;android;2020-08-05T09:11:27.56684;android;2020-08-05T09:11:27.57984
9;../fake-data/blob/CourseResult1304.gpx;application/xml;android;2020-08-05T09:11:27.56684;android;2020-08-05T09:11:27.57984
10;../fake-data/blob/CourseResult2024.gpx;application/xml;android;2020-08-05T11:34:46.194097;android;2020-08-05T11:34:46.194097
11;../fake-data/blob/CourseResult2025.gpx;application/xml;android;2020-08-05T11:34:53.177107;android;2020-08-05T11:34:53.177107
12;../fake-data/blob/CourseResult2026.gpx;application/xml;android;2020-08-05T11:34:54.219109;android;2020-08-05T11:34:54.219109
13;../fake-data/blob/CourseResult2052.gpx;application/xml;android;2020-08-05T11:52:55.504806;android;2020-08-05T11:52:55.504806
14;../fake-data/blob/CourseResult2055.gpx;application/xml;android;2020-08-05T11:51:44.587689;android;2020-08-05T11:51:44.587689
15;../fake-data/blob/CourseResult2066.gpx;application/xml;android;2020-08-05T11:50:44.057589;android;2020-08-05T11:50:44.057589
16;../fake-data/blob/CourseResult3208.gpx;application/xml;android;2020-08-11T06:46:28.81052;android;2020-08-11T06:46:28.81052
17;../fake-data/blob/CourseResult3215.gpx;application/xml;android;2020-08-11T06:46:35.119544;android;2020-08-11T06:46:35.119544
18;../fake-data/blob/CourseResult3223.gpx;application/xml;android;2020-08-11T06:46:49.018573;admin;2020-08-11T06:57:20.705351
19;../fake-data/blob/CourseResult3230.gpx;application/xml;android;2020-08-11T06:47:02.848609;android;2020-08-11T06:47:02.848609
20;../fake-data/blob/CourseResult3237.gpx;application/xml;android;2020-08-11T06:47:07.58862;android;2020-08-11T06:47:07.58862
21;../fake-data/blob/p10_a8_smooth.gpx;application/xml;android;2020-09-10T12:28:24.61423;android;2020-09-10T12:28:24.61423
22;../fake-data/blob/p10_a8_filtered.gpx;application/xml;android;2020-09-10T12:28:30.529485;android;2020-09-10T12:28:30.529485
23;../fake-data/blob/p10_a8_raw.gpx;application/xml;android;2020-09-10T12:28:32.999188;android;2020-09-10T12:28:32.999188
24;../fake-data/blob/p10_a7_smooth.gpx;application/xml;android;2020-09-10T12:28:35.87144;android;2020-09-10T12:28:35.87144
25;../fake-data/blob/p10_a7_filtered.gpx;application/xml;android;2020-09-10T12:28:36.963789;android;2020-09-10T12:28:36.963789
26;../fake-data/blob/p10_a7_raw.gpx;application/xml;android;2020-09-10T12:28:47.567976;android;2020-09-10T12:28:47.567976
27;../fake-data/blob/p30_a10_smooth.gpx;application/xml;android;2020-09-10T12:29:22.983453;android;2020-09-10T12:29:22.983453
28;../fake-data/blob/p30_a10_filtered.gpx;application/xml;android;2020-09-10T12:29:33.067061;android;2020-09-10T12:29:33.067061
29;../fake-data/blob/p30_a10_raw.gpx;application/xml;android;2020-09-10T12:29:43.353027;android;2020-09-10T12:29:43.353027
