id;sequence;time_reached;latitude;longitude;result_course_id;skip_allowed;reached;borg_scale;created_by;created_date;last_modified_by;last_modified_date;force_skipped
1;1;2020-06-24T10:00:00;48.24015453233619;16.278326842971516;1;false;true;5;android;2020-08-05T09:11:27.56684;android;2020-08-05T09:11:27.57984;false
2;3;2020-07-02T07:08:22.973;48.2043181;16.3196567;2;false;true;5;android;2020-08-05T09:11:27.56684;android;2020-08-05T09:11:27.57984;false
3;5;2020-07-02T07:13:59.037;48.204794;16.3171865;2;false;true;5;android;2020-08-05T09:11:27.56684;android;2020-08-05T09:11:27.57984;false
4;1;2020-07-02T07:04:14.964;48.2048948;16.3181886;2;false;true;5;android;2020-08-05T09:11:27.56684;android;2020-08-05T09:11:27.57984;false
5;2;2020-07-02T07:06:17.815;48.2032673;16.3183291;2;false;true;5;android;2020-08-05T09:11:27.56684;android;2020-08-05T09:11:27.57984;false
6;4;2020-07-02T07:10:15.07;48.203103;16.3196148;2;false;true;5;android;2020-08-05T09:11:27.56684;android;2020-08-05T09:11:27.57984;false
7;0;2020-07-02T06:58:59.865;48.2051647;16.3174645;2;false;true;5;android;2020-08-05T09:11:27.56684;android;2020-08-05T09:11:27.57984;false
8;0;2020-07-02T06:57:48.642;48.2051552;16.3174232;3;false;true;5;android;2020-08-05T09:11:27.56684;android;2020-08-05T09:11:27.57984;false
9;5;2020-07-02T07:13:58.503;48.2047912;16.3172117;3;false;true;5;android;2020-08-05T09:11:27.56684;android;2020-08-05T09:11:27.57984;false
10;2;2020-07-02T07:06:15.59;48.2032699;16.318321;3;false;true;5;android;2020-08-05T09:11:27.56684;android;2020-08-05T09:11:27.57984;false
11;3;2020-07-02T07:08:24.424;48.2043086;16.3196624;3;false;true;5;android;2020-08-05T09:11:27.56684;android;2020-08-05T09:11:27.57984;false
12;4;2020-07-02T07:10:13.422;48.2031049;16.3196067;3;false;true;5;android;2020-08-05T09:11:27.56684;android;2020-08-05T09:11:27.57984;false
13;1;2020-07-02T07:04:13.478;48.2048812;16.3181772;3;false;true;5;android;2020-08-05T09:11:27.56684;android;2020-08-05T09:11:27.57984;false
14;5;2020-07-02T07:13:58.435;48.2048028;16.317153;4;false;true;5;android;2020-08-05T09:11:27.56684;android;2020-08-05T09:11:27.57984;false
15;0;2020-07-02T06:57:47.274;48.2052539;16.3174537;4;false;true;5;android;2020-08-05T09:11:27.56684;android;2020-08-05T09:11:27.57984;false
