id;nick_name;time_stamp_finished;time_stamp_started;total_duration_in_millis;shared_course_id;result_additionalinfo_id;created_by;created_date;last_modified_by;last_modified_date;view_code;show_position_counter;switch_app_counter
1;spiderman;2020-06-24T10:00:00;2020-06-24T10:30:00;1800000;1;1;android;2020-08-05T09:11:27.56684;android;2020-08-05T09:11:27.57984;abcd1;0;0
2;Roger;2020-07-02T07:13:59.037;2020-07-02T06:58:59.865;899172;3;2;android;2020-08-05T09:11:27.56684;android;2020-08-05T09:11:27.57984;abcd1;0;0
3;Usain;2020-07-02T07:13:58.503;2020-07-02T06:57:48.642;969861;3;3;android;2020-08-05T09:11:27.56684;android;2020-08-05T09:11:27.57984;abcd2;0;0
4;Lionel;2020-07-02T07:13:58.435;2020-07-02T06:57:47.274;971161;2;4;android;2020-08-05T09:11:27.56684;android;2020-08-05T09:11:27.57984;abcd3;0;0
5;Novak;2020-07-02T07:13:54.59;2020-07-02T06:57:43.361;971229;3;5;android;2020-08-05T09:11:27.56684;android;2020-08-05T09:11:27.57984;abcd4;0;0
6;tomturbo;2020-07-15T09:23:32.484;2020-07-15T09:15:34.668;477816;5;6;android;2020-08-05T09:11:27.56684;android;2020-08-05T09:11:27.57984;abcd5;0;0
7;Jonas;2020-07-15T09:23:34.787;2020-07-15T09:13:09.779;625008;5;7;android;2020-08-05T09:11:27.56684;android;2020-08-05T09:11:27.57984;abcd6;0;0
8;Willi;2020-07-15T09:24:34.536;2020-07-15T09:15:25.073;549463;4;8;android;2020-08-05T09:11:27.56684;android;2020-08-05T09:11:27.57984;abcd7;0;0
9;Cristiano;2020-07-15T09:24:41.011;2020-07-15T09:15:45.1;535911;4;9;android;2020-08-05T09:11:27.56684;android;2020-08-05T09:11:27.57984;abcd8;0;0
10;fighting a3;2020-08-05T11:34:41.642;2020-08-05T11:29:38.286;303356;6;10;android;2020-08-05 11:34:46.184097;android;2020-08-05 11:34:46.184097;abcd9;0;0
11;jonas;2020-08-05T11:34:54.767;2020-08-05T11:27:44.385;430382;6;11;android;2020-08-05T11:34:53.167107;android;2020-08-05T11:34:53.167107;abcd0;0;0
12;alf;2020-08-05T11:34:50.338;2020-08-05T11:29:34.083;316255;6;12;android;2020-08-05T11:34:54.219109;android;2020-08-05T11:34:54.219109;abcde;0;0
13;Willi;2020-08-05T11:34:54.365;2020-08-05T11:29:35.992;318373;6;13;android;2020-08-05T11:52:55.494806;android;2020-08-05T11:52:55.494806;abcdf;0;0
14;Willi Samsung;2020-08-05T11:34:49.934;2020-08-05T11:29:36.782;313152;6;14;android;2020-08-05T11:51:44.587689;android;2020-08-05T11:51:44.587689;abcdg;0;0
15;fichti g8;2020-08-05T11:34:44.799;2020-08-05T11:29:39.041;305758;6;15;android;2020-08-05T11:50:44.047589;android;2020-08-05T11:50:44.047589;abcdh;0;0
16;jonas j5;2020-08-11 06:46:23.981;2020-08-11 06:41:05.297;318684;7;16;android;2020-08-11 06:46:28.81052;android;2020-08-11 06:46:28.81052;abcdi;0;0
17;testgerät1;2020-08-11T06:46:28.973;2020-08-11T06:41:02.492;326481;7;17;android;2020-08-11T06:46:35.119544;android;2020-08-11T06:46:35.119544;abcdj;0;0
18;willi;2020-08-11T06:46:36.925;2020-08-11T06:41:04.073;332852;7;18;android;2020-08-11T06:46:49.008573;android;2020-08-11T06:46:49.008573;abcdk;0;0
19;tester2;2020-08-11T06:46:23.912;2020-08-11T06:41:04.001;319911;7;19;android;2020-08-11T06:47:02.848609;android;2020-08-11T06:47:02.848609;abcdl;0;0
20;tester 3;2020-08-11T06:46:25.188;2020-08-11T06:41:03.098;322090;7;20;android;2020-08-11T06:47:07.57862;android;2020-08-11T06:47:07.57862;abcdm;0;0
21;Huawei p10 lite android 8.0 (smooth);2020-09-10T12:20:38.614;2020-09-10T11:55:29.687;1508927;8;21;android;2020-09-10T12:28:24.594311;android;2020-09-10T12:28:24.594311;abcdn;0;0
22;Huawei p10 lite android 8.0 (filtered);2020-09-10T12:20:38.614;2020-09-10T11:55:29.687;1508927;8;22;android;2020-09-10T12:28:36.956603;android;2020-09-10T12:28:36.956603;abcdo;0;0
23;Huawei p10 lite android 8.0 (raw);2020-09-10T12:20:38.614;2020-09-10T11:55:29.687;1508927;8;23;android;2020-09-10T12:28:47.560123;android;2020-09-10T12:28:47.560123;abcdp;0;0
24;Huawei p10 lite android 7.0 (smooth);2020-09-10T12:20:48.595;2020-09-10T11:55:30.711;1517884;8;24;android;2020-09-10T12:28:24.594312;android;2020-09-10T12:28:24.594312;abcdq;0;0
25;Huawei p10 lite android 7.0 (filtered);2020-09-10T12:20:48.595;2020-09-10T11:55:30.711;1517884;8;25;android;2020-09-10T12:28:25.594312;android;2020-09-10T12:28:25.594312;abcdr;0;0
26;Huawei p10 lite android 7.0 (raw);2020-09-10T12:20:48.595;2020-09-10T11:55:30.711;1517884;8;26;android;2020-09-10T12:28:26.594312;android;2020-09-10T12:28:26.594312;abcds;0;0
27;Huawei P30 lite (smooth);2020-09-10T12:21:47.086;2020-09-10T11:55:38.18;1568906;8;27;android;2020-09-10T12:28:21.594312;android;2020-09-10T12:28:21.594312;abcdt;0;0
28;Huawei P30 lite (filtered);2020-09-10T12:21:47.086;2020-09-10T11:55:38.18;1568906;8;28;android;2020-09-10T12:28:11.594312;android;2020-09-10T12:28:11.594312;abcdu;0;0
29;Huawei P30 lite (raw);2020-09-10T12:21:47.086;2020-09-10T11:55:38.18;1568906;8;29;android;2020-09-10T12:28:31.594312;android;2020-09-10T12:28:31.594312;abcdv;0;0
